GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
d6450ffb-f833-4470-8a79-1ba4d4eed6b3,11-10-2017,2017,South Dakota St.,UC Irvine,TRUE,FALSE,0.44,1,-1.7,0.88,3,3.8,5.4,-3.14,-4.5,1.9,-2.2,-4.1,7.2,14.8,7.7,-0.2,28.6,0.5,6.8,1
de77323f-6ddc-4088-bcb7-f8dbc42e0ce1,11-10-2017,2017,Troy,North Dakota,FALSE,TRUE,0.09,0.4,2,2.74,-2,-5.6,3,2.64,-1.6,-1.2,5.4,6.6,-8.6,-0.8,7.8,-2.9,11,-3.3,-0.3,4.4
711edf99-8f37-4cd4-84b5-446ef26f2993,11-10-2017,2017,Colorado St.,Sacramento St.,TRUE,FALSE,-0.13,-0.3,-0.2,2.15,-2.6,0.3,3.3,3.34,1.2,0.5,5.5,5,5.6,4.9,-0.7,0.5,12.5,-1.4,-2.5,1.3
93428a3a-7e1d-4f85-ac4b-98dcf0f982e5,11-10-2017,2017,Vanderbilt,Austin Peay,TRUE,FALSE,0.08,-1,0.4,1.22,-1.8,0.2,9.2,-3.31,0.1,0.6,-2.1,-2.7,2.1,-1.5,-3.5,-1.8,-18.4,1.1,1.2,5.4
22c1af4b-5b1d-4ebb-8c4a-c675a774f153,11-10-2017,2017,Oregon St.,Southern Utah,TRUE,FALSE,0.21,3.1,0.5,-0.82,3,-4.5,-3,1.88,-1.7,-3.8,1,5,-10.4,-2.4,8,1.4,9.4,-3.2,-2.9,3.8
054d65ef-1978-4903-b346-c7b3214cb708,11-10-2017,2017,Southern California,Cal St. Fullerton,TRUE,FALSE,0.6,3.2,0.7,-1.98,0.3,2.8,-2.3,1.5,-2.3,0,-0.5,-0.5,1,5.3,4.2,0,4.2,0.6,4.2,-0.9
e2007cd9-fc5c-4d05-bb54-04559caf81b4,11-10-2017,2017,Washington,Belmont,TRUE,FALSE,-0.41,-4.3,2.7,-3.4,-2.8,1.7,-3.8,1.83,2.7,2.9,-1.5,-4.5,3.8,-3,-6.8,3.2,-10.9,0,-3,3.2
875c5aa0-fdad-4125-bc03-09ccf441310b,11-10-2017,2017,Arizona St.,Idaho St.,TRUE,FALSE,0.47,2.5,1.2,0.07,-1.2,-1.8,5.5,3.04,1.4,1.9,3.1,1.2,0.4,9,8.5,0.9,15.8,0.4,-3.3,-4.2
be552437-3eba-40fb-866f-3b73ae0e48f0,11-10-2017,2017,Utah,Prairie View,TRUE,FALSE,0.33,2.3,0.3,2.95,2.4,-4.9,8.8,-4.19,-5.9,-2.3,-1.3,1,-8.2,-1.8,6.5,-2.5,18.6,0.3,4.2,-5.3
af899146-3586-4792-9e5f-0e08d2f02cec,11-10-2017,2017,San Francisco,Long Beach St.,FALSE,TRUE,0.29,0.8,0,0.59,-3,-3.4,-5.2,-1.42,1.1,0.1,-0.8,-0.9,-9.7,-6.5,3.2,-1.2,10.9,-3.8,-1.3,-4.4
